mixture,comp1,comp2,z1,Tc_K,Pc_MPa,source
C2–nC4,C2,nC4,0.81300,338.70,5.710,Hicks1975
C2–nC4,C2,nC4,0.82180,337.40,5.700,Hicks1975
C2–nC4,C2,nC4,0.87400,327.60,5.610,Hicks1975
C2–nC4,C2,nC4,0.94720,315.60,5.240,Hicks1975
C3–nC6,C3,nC6,0.14350,496.30,3.527,Hicks1975
C3–nC6,C3,nC6,0.22000,490.65,3.706,Hicks1975
C3–nC6,C3,nC6,0.44370,468.17,4.434,Hicks1975
C3–nC6,C3,nC6,0.46000,466.25,4.496,Hicks1975
C3–nC6,C3,nC6,0.64900,440.15,4.910,Hicks1975
C3–nC6,C3,nC6,0.69960,431.26,4.975,Hicks1975
C3–nC6,C3,nC6,0.76000,422.15,4.990,Hicks1975
C3–nC6,C3,nC6,0.81300,411.45,4.951,Hicks1975
C3–nC6,C3,nC6,0.82010,409.50,4.941,Hicks1975
C3–nC6,C3,nC6,0.91800,390.05,4.689,Hicks1975
C3–nC6,C3,nC6,0.92180,387.55,4.655,Hicks1975
C1–N2,C1,N2,0.04850,129.60,3.578,Hicks1975
C1–N2,C1,N2,0.09000,133.10,3.744,Hicks1975
C1–N2,C1,N2,0.15770,136.90,3.985,Hicks1975
C1–N2,C1,N2,0.25000,144.30,4.344,Hicks1975
C1–N2,C1,N2,0.30300,146.90,4.482,Hicks1975
C1–N2,C1,N2,0.41000,155.40,4.757,Hicks1975
C1–N2,C1,N2,0.49120,159.60,4.923,Hicks1975
C1–N2,C1,N2,0.66900,171.40,4.967,Hicks1975
C1–N2,C1,N2,0.67000,172.00,4.964,Hicks1975
C1–N2,C1,N2,0.71210,174.20,5.068,Hicks1975
C1–N2,C1,N2,0.89980,185.10,4.861,Hicks1975
C1–N2,C1,N2,0.93980,187.20,4.816,Hicks1975
C1–N2,C1,N2,0.97050,189.00,4.726,Hicks1975
C1–N2,C1,N2,0.98580,189.80,4.654,Hicks1975
nC4–CO2,nC4,CO2,0.13910,321.80,7.736,Hicks1975
nC4–CO2,nC4,CO2,0.16940,325.93,7.908,Hicks1975
nC4–CO2,nC4,CO2,0.28980,349.30,8.142,Hicks1975
nC4–CO2,nC4,CO2,0.33340,351.71,8.171,Hicks1975
nC4–CO2,nC4,CO2,0.39270,368.20,7.860,Hicks1975
nC4–CO2,nC4,CO2,0.49840,377.21,7.537,Hicks1975
nC4–CO2,nC4,CO2,0.54490,385.10,7.426,Hicks1975
nC4–CO2,nC4,CO2,0.62390,396.50,6.481,Hicks1975
nC4–CO2,nC4,CO2,0.67400,398.76,6.281,Hicks1975
nC4–CO2,nC4,CO2,0.82730,412.26,5.110,Hicks1975
nC4–CO2,nC4,CO2,0.86070,415.90,4.888,Hicks1975
